alpha,delta,epsilon,profit,inventory_2020,herfindahl_2020
0.0,0.1,0.25,1.2413378189220001e11,1.5553334e7,0.4074199957471345
0.0,0.1,0.5,1.0870593985659999e11,1.4881745e7,0.4035970661645046
0.0,0.11,0.0,1.3646850178480002e11,1.7942897e7,0.391171507462329
0.0,0.11,0.1,1.332741888601e11,1.8850017e7,0.39017020177027933
0.0,0.11,0.25,1.2587165446999998e11,1.573787e7,0.3983588187910979
0.0,0.11,0.5,1.096142310161e11,1.1106548e7,0.4101329255125118
0.0,0.12,0.0,1.3662661514330002e11,1.4721293e7,0.39017020691240195
0.0,0.12,0.1,1.3313434498e11,1.7757073e7,0.3901702058437353
0.0,0.12,0.25,1.234214088714e11,1.7440601e7,0.3901702051668966
0.0,0.12,0.5,1.0891800342770001e11,1.5712288e7,0.3901702060394738
0.0,0.13,0.0,1.361426151076e11,1.9059139e7,0.39501384697802355
0.0,0.13,0.1,1.335580426161e11,1.222592e7,0.39017020093839583
0.0,0.13,0.25,1.243266648432e11,1.3694207e7,0.39017020119672624
0.0,0.13,0.5,1.097848307762e11,1.3695712e7,0.3901702034507345
0.0,0.14,0.0,1.3600115122730002e11,1.7109918e7,0.39017020154767923
0.0,0.14,0.1,1.336169122364e11,1.0254583e7,0.39017020394617064
0.0,0.14,0.25,1.249081879283e11,1.1919575e7,0.3901702006589782
0.0,0.14,0.5,1.1196979346879999e11,1.1197139e7,0.39017020551753556
0.0,0.15,0.0,1.359712376245e11,1.0784043e7,0.39017020352336174
0.0,0.15,0.1,1.3390706248650002e11,1.2412239e7,0.3901702034785653
0.0,0.15,0.25,1.239049711819e11,1.104248e7,0.3901702060046353
0.0,0.15,0.5,1.060704438375e11,1.6101576e7,0.3901702044138784
0.0,0.16,0.0,1.364577597391e11,5.271341e6,0.3901702055518951
0.0,0.16,0.1,1.3240459395750002e11,1.051912e7,0.390170201510291
0.0,0.16,0.25,1.240235389896e11,5.613787e6,0.3901702023232218
0.0,0.16,0.5,1.111731221256e11,5.946635e6,0.3901702081284012
0.0,0.17,0.0,1.35947628411e11,2.586389e6,0.3901702048850242
0.0,0.17,0.1,1.316825851981e11,5.075788e6,0.39017020468638647
0.0,0.17,0.25,1.241734332455e11,5.346571e6,0.3901702041695963
0.0,0.17,0.5,1.0616082160630002e11,3.076458e6,0.390170204603602
0.0,0.18,0.0,1.3544038972420001e11,2.791226e6,0.39017020276305747
0.0,0.18,0.1,1.3193769149909999e11,5.326375e6,0.3901702051772685
0.0,0.18,0.25,1.2153697392629999e11,7.298353e6,0.390170204515896
0.0,0.18,0.5,1.091685804806e11,4.111748e6,0.3901702039387697
0.0,0.19,0.0,1.350381309139e11,-0.0,0.39017020263572266
0.0,0.19,0.1,1.32264088923e11,-0.0,0.39017020347235265
0.0,0.19,0.25,1.2199473783309999e11,-0.0,0.3901702043715204
0.0,0.19,0.5,1.068868813419e11,257986.0,0.3901702046280954
0.0,0.2,0.0,1.344594933454e11,-0.0,0.3901702009754434
0.0,0.2,0.1,1.304032024482e11,9.652544e6,0.39017020365649435
0.0,0.2,0.25,1.2273257114619998e11,3.908412e6,0.3901702057497832
0.0,0.2,0.5,1.076788227236e11,4.205519e6,0.3901702052383823
0.1,0.0,0.0,1.381185064241e11,-0.0,0.5017393664001494
0.1,0.0,0.1,1.3518740229659999e11,-0.0,0.5017393664001494
0.1,0.0,0.25,1.236573530244e11,-0.0,0.5017393664001494
0.1,0.0,0.5,1.0702025272629999e11,-0.0,0.5017393664001494
0.1,0.01,0.0,1.381056942277e11,-0.0,0.5023361573409151
0.1,0.01,0.1,1.34485608363e11,-0.0,0.5021944109285477
0.1,0.01,0.25,1.248047844283e11,-0.0,0.5021795817736756
0.1,0.01,0.5,1.072870943725e11,-0.0,0.5022465624565859
0.1,0.02,0.0,1.380922606366e11,-0.0,0.5028851369726091
0.1,0.02,0.1,1.341106418454e11,-0.0,0.5029564327440323
0.1,0.02,0.25,1.2424435867720001e11,-0.0,0.5028213254514688
0.1,0.02,0.5,1.052651673965e11,-0.0,0.5029479644818756
0.1,0.03,0.0,1.380798079974e11,-0.0,0.5036807100440892
0.1,0.03,0.1,1.342097026545e11,-0.0,0.5036459639130313
0.1,0.03,0.25,1.235288355638e11,-0.0,0.5032190660539647
0.1,0.03,0.5,1.081882363068e11,-0.0,0.503673969085276
0.1,0.04,0.0,1.380664146566e11,-0.0,0.5045924672661593
0.1,0.04,0.1,1.3419714581119998e11,-0.0,0.5042616489472159
0.1,0.04,0.25,1.239131959265e11,-0.0,0.5043570606674951
0.1,0.04,0.5,1.0868875868990001e11,-0.0,0.504270785265816
0.1,0.05,0.0,1.378850543316e11,2.075975e6,0.4949214587196788
0.1,0.05,0.1,1.3474330560819998e11,1.057057e6,0.5003071771739964
0.1,0.05,0.25,1.2453244714109998e11,2.603334e6,0.492570455551276
0.1,0.05,0.5,1.0532208976780002e11,2.86169e6,0.4913704205743118
0.1,0.06,0.0,1.375660148418e11,5.786702e6,0.4705118352113463
0.1,0.06,0.1,1.346339821287e11,1.383057e6,0.4979707721817237
0.1,0.06,0.25,1.224757355621e11,5.811313e6,0.4743578445211464
0.1,0.06,0.5,1.0732391695039998e11,5.799664e6,0.4725313861976922
0.1,0.07,0.0,1.375652862509e11,5.746408e6,0.46432054174680104
0.1,0.07,0.1,1.3365341753879999e11,5.732387e6,0.4621968992062642
0.1,0.07,0.25,1.224342437583e11,5.751539e6,0.46510162242548125
0.1,0.07,0.5,1.1041863167429999e11,5.760822e6,0.46652025987661383
0.1,0.08,0.0,1.3754765417890002e11,5.730253e6,0.46187497774313135
0.1,0.08,0.1,1.3440503443730002e11,5.664182e6,0.45209246591174523
0.1,0.08,0.25,1.235445719887e11,5.755717e6,0.46573928029047207
0.1,0.08,0.5,1.035248315401e11,5.795501e6,0.4718813751039376
0.1,0.09,0.0,1.3730563555930002e11,8.497858e6,0.4335583586551949
0.1,0.09,0.1,1.342043855844e11,8.895376e6,0.4349275902283461
0.1,0.09,0.25,1.241530701485e11,7.791973e6,0.43816707710296304
0.1,0.09,0.5,1.06068640721e11,8.924047e6,0.42999941631704586
0.1,0.1,0.0,1.3674638845579999e11,1.5063094e7,0.4031626440917301
0.1,0.1,0.1,1.339094007965e11,7.546068e6,0.42888612693970407
0.1,0.1,0.25,1.228246065754e11,9.625779e6,0.4257266722907993
0.1,0.1,0.5,1.04088225429e11,1.4258706e7,0.4078380113019874
0.1,0.11,0.0,1.3668640022770001e11,1.5064748e7,0.39822108083985663
0.1,0.11,0.1,1.322989006316e11,1.7317732e7,0.39017020522591966
0.1,0.11,0.25,1.2475183577770001e11,1.6463851e7,0.40704985894339807
0.1,0.11,0.5,1.030257953997e11,1.8603315e7,0.39682661097670313
0.1,0.12,0.0,1.367194257636e11,1.511932e7,0.39127618586502755
0.1,0.12,0.1,1.33000313675e11,1.8165213e7,0.40689229977143704
0.1,0.12,0.25,1.225405478163e11,1.5294188e7,0.3901702024461355
0.1,0.12,0.5,1.033571327915e11,1.4782167e7,0.39017020229952804
0.1,0.13,0.0,1.368425290379e11,1.3620508e7,0.39017020351693443
0.1,0.13,0.1,1.3343465482080002e11,1.3386958e7,0.3901702043840298
0.1,0.13,0.25,1.2198284412029999e11,1.8126783e7,0.390170207646945
0.1,0.13,0.5,1.039388552678e11,1.7843111e7,0.39017020595962815
0.1,0.14,0.0,1.3634683827420001e11,1.6949494e7,0.390170204277727
0.1,0.14,0.1,1.333521545263e11,1.2939487e7,0.3901702063513013
0.1,0.14,0.25,1.22338192917e11,1.3605632e7,0.3901702056283243
0.1,0.14,0.5,1.0542649318729999e11,1.9027785e7,0.39017020056909535
