Region,yr_2023_shoes,yr_2022_shoes,yr_2021_shoes,yr_2020_shoes,yr_2019_shoes,yr_2018_shoes,yr_2017_shoes,yr_2016_shoes
AMERICAS,3942152.67209477,6573317.446032698,5781384.917023315,5558802.718174737,4623243.160299227,4805157.498231681,4417523.257646301,4182046.3182033882
EMEA,585558.1576157312,975970.5224957023,858388.675815665,825340.8781561134,686434.0692240886,713443.7234662632,655889.8938471456,620927.5550417233
N ASIA,23230401.11693022,38737053.106179714,34070135.26984994,32758441.664896853,27245118.9667377,28317153.814760763,26032796.138958525,24645112.859796934
S ASIA,61667845.41308616,102831513.85163133,90442697.7789288,86960671.44261692,72324986.12473139,75170813.50405593,69106749.79385431,65423001.008120835
SE ASIA,81140565.64027311,135302747.07366055,119001899.35838227,114420349.29615536,95163135.67900759,98907593.45948535,90928672.91569372,86081702.25883712
