Region,2016,2017,2018,2019,2020,2021,2022,2023
Asia Pacific,2147.69,2407.9049999999997,2620.475,2654.926,2528.1169999999997,2682.047,3013.363,3330.019
"Europe, Middle East, and Africa",5043.0,5192.0,5875.0,6293.0,5892.0,6970.0,7388.0,8260.0
Greater China,2599.0,2920.0,3496.0,4262.0,4635.0,5748.0,5416.0,5435.0
Latin America,782.3100000000001,877.095,954.5250000000001,967.0740000000001,920.883,976.9530000000001,1097.6370000000002,1212.981
North America,9299.0,9684.0,9322.0,10045.0,9329.0,11644.0,12228.0,14897.0
