Region,2016,2017,2018,2019,2020,2021,2022,2023
Asia Pacific,18435107.0,20668712.0,22493348.0,22789064.0,21700575.0,23021863.0,25865777.0,28583854.0
"Europe, Middle East, and Africa",43287554.0,44566524.0,50429185.0,54017167.0,50575107.0,59828326.0,63416309.0,70901288.0
Greater China,22309013.0,25064378.0,30008584.0,36583691.0,39785408.0,49339056.0,46489270.0,46652361.0
Latin America,6715107.0,7528712.0,8193348.0,8301064.0,7904575.0,8385863.0,9421777.0,10411854.0
North America,79819742.0,83124464.0,80017167.0,86223176.0,80077253.0,99948498.0,104961373.0,127871245.0
