Region,yr_2023_shoes,yr_2022_shoes,yr_2021_shoes,yr_2020_shoes,yr_2019_shoes,yr_2018_shoes,yr_2017_shoes,yr_2016_shoes
AMERICAS,62.790857972862895,30.666067005523175,35.94662689043079,30.269220886242234,36.743366947961725,32.963198809354616,34.23784012712016,32.803494513245994
EMEA,60.41504050529118,31.28086995764922,36.74663959021736,31.238342316106486,34.93881280148908,30.754175608311904,30.901966719076007,33.110279368862365
N ASIA,57.125403752761486,30.023943804985112,38.042139733118404,30.162964649562845,36.19686775916899,35.55452664772524,32.770559033301666,32.377606262667975
S ASIA,63.077165518802765,30.879665551116368,36.87463054599939,28.50774297077704,34.00820578826161,34.22669033443327,29.150568231974034,31.354393148277822
SE ASIA,59.86314001390521,31.870086018716307,37.31506409715613,28.965752268113164,34.86030229616955,35.82171216315525,34.02829364987385,31.747559295430115
