Region,yr_2023_shoes,yr_2022_shoes,yr_2021_shoes,yr_2020_shoes,yr_2019_shoes,yr_2018_shoes,yr_2017_shoes,yr_2016_shoes
AMERICAS,7175966.2887922535,6816953.766403722,6475934.7117244005,5537232.637970805,5552227.194395147,5385701.934905384,5274656.534185685,5011180.7570151035
EMEA,1077037.5671655955,1023057.1640379642,971647.256297363,830912.6338574672,833118.9757313346,808270.8536567107,791712.5792052587,751869.9007062928
N ASIA,30203320.797603216,28693154.757723056,27258389.91586244,23305653.476046752,23370472.80138969,22669400.17369009,22201797.073676474,21091771.482377328
S ASIA,109779431.74158633,104290138.84258363,99075888.94999315,84709904.33095956,84945168.92125748,82396668.40642242,80697703.7645239,76662882.83868237
SE ASIA,136184845.60485262,129375603.32461,122906523.26725101,105085193.06579202,105377137.07937396,102215719.07613753,100108371.26378356,95102759.91344036
